customer_id,order_id,weather,order_timestamp,item_id,item_name,taste_profile,item_type
52,1752,snowy,2015-01-02 20:38:35,640405323,Small Curly Fries,savory,side
52,1752,snowy,2015-01-02 20:38:35,640405331,Regular Curly Fries,savory,side
194,244,snowy,2015-01-04 16:51:57,640405315,Large Fries,savory,side
1,714,cloudy,2015-01-05 20:58:57,640405307,Regular Fries,savory,side
1,714,cloudy,2015-01-05 20:58:57,640405355,Small Drink,chilling,beverage
1,714,cloudy,2015-01-05 20:58:57,640404963,Cheeseburger,savory,burger
1,714,cloudy,2015-01-05 20:58:57,640405347,Onion Rings,sweet,side
47,1546,sunny,2015-01-08 19:49:40,640405371,Regular Drink,chilling,beverage
47,1546,sunny,2015-01-08 19:49:40,640405395,Regular Shake,sweet,beverage
47,1546,sunny,2015-01-08 19:49:40,640405085,Double Hamburger,savory,burger
192,795,rainy,2015-01-08 21:12:27,640404963,Cheeseburger,savory,burger
192,795,rainy,2015-01-08 21:12:27,640405315,Large Fries,savory,side
192,795,rainy,2015-01-08 21:12:27,640405348,Coffee,bitter,beverage
157,1810,sunny,2015-01-11 02:07:44,640405348,Coffee,bitter,beverage
157,1810,sunny,2015-01-11 02:07:44,640405058,Veggie Burger,healthy,burger
157,1810,sunny,2015-01-11 02:07:44,640405296,Small Fries,savory,side
79,1530,snowy,2015-01-11 15:28:54,640405339,Large Curly Fries,savory,side
79,1530,snowy,2015-01-11 15:28:54,640405085,Double Hamburger,savory,burger
32,1538,sunny,2015-01-11 17:21:23,640405399,Large Shake,sweet,beverage
32,1538,sunny,2015-01-11 17:21:23,640405380,Large Drink,chilling,beverage
32,1538,sunny,2015-01-11 17:21:23,640405112,Double Cheeseburger,savory,burger
32,1538,sunny,2015-01-11 17:21:23,640405389,Small Shake,sweet,beverage
29,1882,sunny,2015-01-12 02:56:48,640404963,Cheeseburger,savory,burger
98,559,sunny,2015-01-15 09:27:19,640405315,Large Fries,savory,side
132,1823,rainy,2015-01-15 17:08:01,640405339,Large Curly Fries,savory,side
132,1823,rainy,2015-01-15 17:08:01,640405395,Regular Shake,sweet,beverage
76,466,rainy,2015-01-16 21:24:54,640405112,Double Cheeseburger,savory,burger
76,466,rainy,2015-01-16 21:24:54,640405315,Large Fries,savory,side
76,466,rainy,2015-01-16 21:24:54,640405323,Small Curly Fries,savory,side
151,1892,cloudy,2015-01-18 02:01:17,640405296,Small Fries,savory,side
151,1892,cloudy,2015-01-18 02:01:17,640405172,Double Bacon Cheeseburger,savory,burger
151,1892,cloudy,2015-01-18 02:01:17,640405371,Regular Drink,chilling,beverage
151,1892,cloudy,2015-01-18 02:01:17,640405355,Small Drink,chilling,beverage
32,463,snowy,2015-01-18 07:44:10,640405399,Large Shake,sweet,beverage
46,281,snowy,2015-01-19 17:09:52,640405331,Regular Curly Fries,savory,side
97,1326,rainy,2015-01-20 02:48:36,640404963,Cheeseburger,savory,burger
97,1326,rainy,2015-01-20 02:48:36,640405348,Coffee,bitter,beverage
43,883,cloudy,2015-01-20 05:47:57,640405399,Large Shake,sweet,beverage
43,883,cloudy,2015-01-20 05:47:57,640405112,Double Cheeseburger,savory,burger
43,883,cloudy,2015-01-20 05:47:57,640405395,Regular Shake,sweet,beverage
121,1370,snowy,2015-01-21 12:33:17,640405307,Regular Fries,savory,side
121,1370,snowy,2015-01-21 12:33:17,640405331,Regular Curly Fries,savory,side
121,1370,snowy,2015-01-21 12:33:17,640405085,Double Hamburger,savory,burger
183,213,sunny,2015-01-21 12:36:38,640405058,Veggie Burger,healthy,burger
183,213,sunny,2015-01-21 12:36:38,640405339,Large Curly Fries,savory,side
183,213,sunny,2015-01-21 12:36:38,640405355,Small Drink,chilling,beverage
99,1489,sunny,2015-01-22 09:22:05,640405323,Small Curly Fries,savory,side
99,1489,sunny,2015-01-22 09:22:05,640404923,Hamburger,savory,burger
99,1489,sunny,2015-01-22 09:22:05,640405339,Large Curly Fries,savory,side
33,1206,sunny,2015-01-23 01:52:02,640405347,Onion Rings,sweet,side
33,1206,sunny,2015-01-23 01:52:02,640405389,Small Shake,sweet,beverage
33,1206,sunny,2015-01-23 01:52:02,640405058,Veggie Burger,healthy,burger
181,514,cloudy,2015-01-27 13:33:25,640405058,Veggie Burger,healthy,burger
181,514,cloudy,2015-01-27 13:33:25,640405323,Small Curly Fries,savory,side
181,514,cloudy,2015-01-27 13:33:25,640405331,Regular Curly Fries,savory,side
7,742,snowy,2015-01-27 17:17:56,640405348,Coffee,bitter,beverage
63,1340,sunny,2015-01-28 00:07:52,640405339,Large Curly Fries,savory,side
63,1340,sunny,2015-01-28 00:07:52,640405172,Double Bacon Cheeseburger,savory,burger
22,201,rainy,2015-02-01 03:49:24,640405399,Large Shake,sweet,beverage
22,201,rainy,2015-02-01 03:49:24,640405347,Onion Rings,sweet,side
172,1201,rainy,2015-02-03 10:45:24,640404923,Hamburger,savory,burger
38,805,rainy,2015-02-04 13:24:57,640405395,Regular Shake,sweet,beverage
38,805,rainy,2015-02-04 13:24:57,640405389,Small Shake,sweet,beverage
140,1376,sunny,2015-02-05 09:42:02,640405395,Regular Shake,sweet,beverage
140,1376,sunny,2015-02-05 09:42:02,640405389,Small Shake,sweet,beverage
164,1736,snowy,2015-02-05 18:43:24,640405339,Large Curly Fries,savory,side
103,154,snowy,2015-02-05 22:50:12,640405339,Large Curly Fries,savory,side
103,154,snowy,2015-02-05 22:50:12,640405025,Bacon Cheeseburger,savory,burger
196,451,snowy,2015-02-06 04:19:27,640405347,Onion Rings,sweet,side
196,451,snowy,2015-02-06 04:19:27,640405331,Regular Curly Fries,savory,side
34,1536,sunny,2015-02-09 18:25:36,640405058,Veggie Burger,healthy,burger
34,1536,sunny,2015-02-09 18:25:36,640405395,Regular Shake,sweet,beverage
34,1536,sunny,2015-02-09 18:25:36,640405399,Large Shake,sweet,beverage
194,1920,sunny,2015-02-09 22:22:08,640405380,Large Drink,chilling,beverage
185,809,snowy,2015-02-11 09:29:41,640405058,Veggie Burger,healthy,burger
87,715,snowy,2015-02-11 13:02:28,640405395,Regular Shake,sweet,beverage
171,1222,snowy,2015-02-11 18:12:27,640405323,Small Curly Fries,savory,side
171,1222,snowy,2015-02-11 18:12:27,640404963,Cheeseburger,savory,burger
53,359,rainy,2015-02-12 12:55:11,640405112,Double Cheeseburger,savory,burger
53,359,rainy,2015-02-12 12:55:11,640405380,Large Drink,chilling,beverage
53,359,rainy,2015-02-12 12:55:11,640405307,Regular Fries,savory,side
53,359,rainy,2015-02-12 12:55:11,640405172,Double Bacon Cheeseburger,savory,burger
40,1634,rainy,2015-02-13 07:05:53,640405058,Veggie Burger,healthy,burger
69,477,cloudy,2015-02-13 08:01:41,640405399,Large Shake,sweet,beverage
69,477,cloudy,2015-02-13 08:01:41,640405315,Large Fries,savory,side
69,477,cloudy,2015-02-13 08:01:41,640404923,Hamburger,savory,burger
69,477,cloudy,2015-02-13 08:01:41,640405307,Regular Fries,savory,side
29,1344,snowy,2015-02-16 17:25:07,640405025,Bacon Cheeseburger,savory,burger
29,1344,snowy,2015-02-16 17:25:07,640405058,Veggie Burger,healthy,burger
29,1344,snowy,2015-02-16 17:25:07,640405339,Large Curly Fries,savory,side
23,1715,sunny,2015-02-18 08:27:16,640405348,Coffee,bitter,beverage
23,1715,sunny,2015-02-18 08:27:16,640405172,Double Bacon Cheeseburger,savory,burger
87,220,rainy,2015-02-18 08:59:48,640405348,Coffee,bitter,beverage
122,913,sunny,2015-02-18 17:48:51,640405307,Regular Fries,savory,side
122,913,sunny,2015-02-18 17:48:51,640405315,Large Fries,savory,side
122,913,sunny,2015-02-18 17:48:51,640405296,Small Fries,savory,side
121,1181,sunny,2015-02-18 19:07:03,640405371,Regular Drink,chilling,beverage
121,1181,sunny,2015-02-18 19:07:03,640405112,Double Cheeseburger,savory,burger
132,1189,rainy,2015-02-19 17:12:31,640405399,Large Shake,sweet,beverage
128,141,rainy,2015-02-20 03:17:10,640405389,Small Shake,sweet,beverage
128,141,rainy,2015-02-20 03:17:10,640405399,Large Shake,sweet,beverage
128,141,rainy,2015-02-20 03:17:10,640405339,Large Curly Fries,savory,side
128,141,rainy,2015-02-20 03:17:10,640405347,Onion Rings,sweet,side
193,939,rainy,2015-02-20 03:27:10,640405399,Large Shake,sweet,beverage
134,1609,snowy,2015-02-20 23:12:27,640405395,Regular Shake,sweet,beverage
134,1609,snowy,2015-02-20 23:12:27,640405085,Double Hamburger,savory,burger
134,1609,snowy,2015-02-20 23:12:27,640405347,Onion Rings,sweet,side
134,1609,snowy,2015-02-20 23:12:27,640405112,Double Cheeseburger,savory,burger
93,1893,cloudy,2015-02-21 15:29:38,640405296,Small Fries,savory,side
93,1893,cloudy,2015-02-21 15:29:38,640405172,Double Bacon Cheeseburger,savory,burger
117,1849,sunny,2015-02-23 20:42:33,640405323,Small Curly Fries,savory,side
173,1436,sunny,2015-02-26 09:39:27,640405389,Small Shake,sweet,beverage
173,1436,sunny,2015-02-26 09:39:27,640405172,Double Bacon Cheeseburger,savory,burger
173,1436,sunny,2015-02-26 09:39:27,640405355,Small Drink,chilling,beverage
135,667,cloudy,2015-03-01 05:35:44,640405348,Coffee,bitter,beverage
135,667,cloudy,2015-03-01 05:35:44,640405172,Double Bacon Cheeseburger,savory,burger
135,667,cloudy,2015-03-01 05:35:44,640405395,Regular Shake,sweet,beverage
45,734,cloudy,2015-03-03 15:29:39,640405085,Double Hamburger,savory,burger
45,734,cloudy,2015-03-03 15:29:39,640405323,Small Curly Fries,savory,side
45,734,cloudy,2015-03-03 15:29:39,640405307,Regular Fries,savory,side
45,734,cloudy,2015-03-03 15:29:39,640405112,Double Cheeseburger,savory,burger
96,61,cloudy,2015-03-05 00:59:54,640404923,Hamburger,savory,burger
96,61,cloudy,2015-03-05 00:59:54,640405399,Large Shake,sweet,beverage
102,406,rainy,2015-03-06 05:12:19,640405323,Small Curly Fries,savory,side
102,406,rainy,2015-03-06 05:12:19,640405172,Double Bacon Cheeseburger,savory,burger
68,876,cloudy,2015-03-06 14:20:45,640405172,Double Bacon Cheeseburger,savory,burger
57,438,sunny,2015-03-08 15:38:44,640405025,Bacon Cheeseburger,savory,burger
57,438,sunny,2015-03-08 15:38:44,640405380,Large Drink,chilling,beverage
196,1834,snowy,2015-03-10 04:58:31,640405323,Small Curly Fries,savory,side
124,1854,sunny,2015-03-11 02:51:58,640405112,Double Cheeseburger,savory,burger
124,1854,sunny,2015-03-11 02:51:58,640405307,Regular Fries,savory,side
124,1854,sunny,2015-03-11 02:51:58,640405085,Double Hamburger,savory,burger
124,1854,sunny,2015-03-11 02:51:58,640405172,Double Bacon Cheeseburger,savory,burger
26,1846,sunny,2015-03-11 07:24:39,640405058,Veggie Burger,healthy,burger
26,1846,sunny,2015-03-11 07:24:39,640405395,Regular Shake,sweet,beverage
26,1846,sunny,2015-03-11 07:24:39,640405348,Coffee,bitter,beverage
9,901,sunny,2015-03-11 11:14:41,640405112,Double Cheeseburger,savory,burger
9,901,sunny,2015-03-11 11:14:41,640405380,Large Drink,chilling,beverage
9,901,sunny,2015-03-11 11:14:41,640405389,Small Shake,sweet,beverage
126,1856,rainy,2015-03-12 15:05:15,640405112,Double Cheeseburger,savory,burger
